année;site;tronçon;arrondissement;coordonnées;latitude;longitude;période;heure;catégories de véhicules;données;secteur
2016-01-01;Porte de Saint-Cloud;en direction de la Porte d'Auteuil;BP;48.84165, 2.22163;48.84165;2.22163;MOYENNE DU 24 AU 26 NOVEMBRE 2016;08h-09h;Cars;13.0;Boulevard Périphérique
2016-01-01;Porte de Saint-Cloud;en direction de la Porte d'Auteuil;BP;48.84165, 2.22163;48.84165;2.22163;MOYENNE DU 24 AU 26 NOVEMBRE 2016;14h-15h;Véhicules Utilitaires;786.0;Boulevard Périphérique
2016-01-01;Porte de Saint-Cloud;en direction de la Porte de Sèvres;BP;48.84165, 2.22163;48.84165;2.22163;MOYENNE DU 24 AU 26 NOVEMBRE 2016;07h-08h;Taxis;125.66666666666667;Boulevard Périphérique
2016-01-01;Porte de Saint-Cloud;en direction de la Porte de Sèvres;BP;48.84165, 2.22163;48.84165;2.22163;MOYENNE DU 24 AU 26 NOVEMBRE 2016;08h-09h;Cars;5.333333333333333;Boulevard Périphérique
2016-01-01;Porte de Saint-Cloud;en direction de la Porte de Sèvres;BP;48.84165, 2.22163;48.84165;2.22163;MOYENNE DU 24 AU 26 NOVEMBRE 2016;10h-11h;Véhicules Utilitaires;960.6666666666666;Boulevard Périphérique
2016-01-01;Porte de Saint-Cloud;en direction de la Porte de Sèvres;BP;48.84165, 2.22163;48.84165;2.22163;MOYENNE DU 24 AU 26 NOVEMBRE 2016;13h-14h;Véhicules Particuliers;3720.6666666666665;Boulevard Périphérique
2016-01-01;Porte de Saint-Cloud;en direction de la Porte de Sèvres;BP;48.84165, 2.22163;48.84165;2.22163;MOYENNE DU 24 AU 26 NOVEMBRE 2016;14h-15h;Taxis;228.99999999999997;Boulevard Périphérique
2016-01-01;Porte de Saint-Cloud;en direction de la Porte de Sèvres;BP;48.84165, 2.22163;48.84165;2.22163;MOYENNE DU 24 AU 26 NOVEMBRE 2016;16h-17h;Deux roues-motorisés;465.6666666666667;Boulevard Périphérique
2016-01-01;Porte d'Aubervilliers;en direction de la Porte de la Villette;BP;48.90056, 2.37085;48.90056;2.37085;MOYENNE DU 24 AU 26 NOVEMBRE 2016;12h-13h;Poids lourds;175.0;Boulevard Périphérique
2016-01-01;Porte d'Aubervilliers;en direction de la Porte de la Villette;BP;48.90056, 2.37085;48.90056;2.37085;MOYENNE DU 24 AU 26 NOVEMBRE 2016;16h-17h;Poids lourds;64.0;Boulevard Périphérique
2016-01-01;Porte d'Aubervilliers;en direction de la Porte de la Villette;BP;48.90056, 2.37085;48.90056;2.37085;MOYENNE DU 24 AU 26 NOVEMBRE 2016;16h-17h;Deux roues-motorisés;445.0;Boulevard Périphérique
2016-01-01;Porte d'Aubervilliers;en direction de la Porte de la Chapelle;BP;48.90056, 2.37085;48.90056;2.37085;MOYENNE DU 24 AU 26 NOVEMBRE 2016;12h-13h;Véhicules Utilitaires;1274.3333333333333;Boulevard Périphérique
2016-01-01;Porte d'Aubervilliers;en direction de la Porte de la Chapelle;BP;48.90056, 2.37085;48.90056;2.37085;MOYENNE DU 24 AU 26 NOVEMBRE 2016;13h-14h;Véhicules Particuliers;3547.9999999999995;Boulevard Périphérique
2016-01-01;Porte d'Aubervilliers;en direction de la Porte de la Chapelle;BP;48.90056, 2.37085;48.90056;2.37085;MOYENNE DU 24 AU 26 NOVEMBRE 2016;13h-14h;Deux roues-motorisés;351.33333333333337;Boulevard Périphérique
2016-01-01;Porte d'Aubervilliers;en direction de la Porte de la Chapelle;BP;48.90056, 2.37085;48.90056;2.37085;MOYENNE DU 24 AU 26 NOVEMBRE 2016;15h-16h;Véhicules Utilitaires;1325.0;Boulevard Périphérique
2016-01-01;Porte d'Aubervilliers;en direction de la Porte de la Chapelle;BP;48.90056, 2.37085;48.90056;2.37085;MOYENNE DU 24 AU 26 NOVEMBRE 2016;16h-17h;Taxis;110.33333333333334;Boulevard Périphérique
2016-01-01;Porte d'Aubervilliers;en direction de la Porte de la Chapelle;BP;48.90056, 2.37085;48.90056;2.37085;MOYENNE DU 24 AU 26 NOVEMBRE 2016;18h-19h;Véhicules Particuliers;3143.666666666667;Boulevard Périphérique
2016-01-01;Porte d'Aubervilliers;en direction de la Porte de la Chapelle;BP;48.90056, 2.37085;48.90056;2.37085;MOYENNE DU 24 AU 26 NOVEMBRE 2016;18h-19h;Poids lourds;37.33333333333333;Boulevard Périphérique
2016-01-01;Porte d'Aubervilliers;en direction de la Porte de la Chapelle;BP;48.90056, 2.37085;48.90056;2.37085;MOYENNE DU 24 AU 26 NOVEMBRE 2016;19h-20h;Poids lourds;31.666666666666668;Boulevard Périphérique
2016-01-01;Porte de Montreuil;en direction de la Porte de Vincennes;BP;48.854, 2.41392;48.85400;2.41392;MOYENNE DU 24 AU 26 NOVEMBRE 2016;08h-09h;Véhicules Particuliers;2521.3333333333335;Boulevard Périphérique
2016-01-01;Porte de Montreuil;en direction de la Porte de Vincennes;BP;48.854, 2.41392;48.85400;2.41392;MOYENNE DU 24 AU 26 NOVEMBRE 2016;10h-11h;Cars;18.666666666666664;Boulevard Périphérique
